ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 15+",2015M04,99,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 15-24",2015M04,24,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 25+",2015M04,76,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 15+",2015M04,88,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 15-24",2015M04,21,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 25+",2015M04,67,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 15+",2015M05,177,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 15-24",2015M05,45,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 25+",2015M05,132,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 15+",2015M05,92,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
