"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,100.1628,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2018-04","Apr-2018","IDX","Index","0","Units",,,100.9957,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2018-05","May-2018","IDX","Index","0","Units",,,100.8247,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2018-06","Jun-2018","IDX","Index","0","Units",,,100.5885,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2018-07","Jul-2018","IDX","Index","0","Units",,,100.4358,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2018-08","Aug-2018","IDX","Index","0","Units",,,100.4636,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,100.5481,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,100.5058,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,100.1997,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,99.77051,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,99.41211,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,99.26884,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,99.26258,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,99.29299,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,99.30066,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,99.29363,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,99.30183,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,99.34608,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,99.39195,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,99.38144,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,99.26303,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,99.07811,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CAN","Canada","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,98.8706,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-04","Apr-2018","IDX","Index","0","Units",,,100.5267,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-05","May-2018","IDX","Index","0","Units",,,100.4352,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-06","Jun-2018","IDX","Index","0","Units",,,100.2806,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-07","Jul-2018","IDX","Index","0","Units",,,100.0682,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-08","Aug-2018","IDX","Index","0","Units",,,99.99289,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,100.0554,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,100.1374,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,100.143,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,100.058,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,99.94429,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,99.8368,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,99.71556,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,99.55066,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,99.39202,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,99.26751,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,99.23176,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,99.23952,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,99.24423,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,99.1275,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,99.00821,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,98.91985,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,98.78858,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,98.64713,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,98.34232,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-04","Apr-2018","IDX","Index","0","Units",,,101.3819,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-05","May-2018","IDX","Index","0","Units",,,101.6145,,
