"screen_name","content","mentions"
"@certbund","In den letzten Wochen haben weitere Unternehmen auf die Briefpost des @BSI_Bund reagiert und die kritische Schwachs… https://t.co/hDrzEpLGVK","@BSI_Bund"
"@reecdeep","😈#Malware #Gozi #Othuum targets #Italy 🇮🇹\n\n⚙️ https://t.co/f5weG9GXOb\n\ndownloaders: https://t.co/4AciiIz98X\n\n🔥\nprem… https://t.co/0eLSPCe7WI",""
"@_zSecurity_","Follow us to stay updated on the latest of cyber security.\n\n#cybersecurity #hacking #hashing #wordlist #pentesting… https://t.co/DeErnkouNt",""
"@r00tkie","We hired a quite twitter famous #infosec folk, well known in the #BugBounty community as well. Guess what ?\nA week… https://t.co/VnHDNyqz8D",""
"@ingliguori","#Infographic Biggest #Cybersecurity Threats of 2020\nvia @ingliguori \n#InfoSec #MobileSecurity #SaaS #Tech… https://t.co/1ybNZUu7s1","@ingliguori"
"@dive_monkey","I've spent 23 years in cybersecurity/information security. The bulk of my work has been in something vaguely simila… https://t.co/Mi86lALxs5",""
"@PulseGhana","Parliament passes Cybersecurity Act https://t.co/at1SU1axdG https://t.co/lBHbniBSIm",""
"@siri_urz",".RYK 545782B922DEF6E3D30D2A54F826C21F\nRyuk #Ransomware https://t.co/g5gxI2Okoa",""
"@ilikeoldbooks","The Vatican exposed this weekend a new threat to cultural heritage institutions. Not rising temperatures, nor wette… https://t.co/D0yuSRCZcr",""
"@TamaraMcCleary","#Cybersecurity Best Practices to Keep Your Online Business Safe https://t.co/l1p44VY1ZS https://t.co/bkgefNbS8v",""
"@MalwareTechBlog","@GossiTheDog Navy seals copypasta, but make it ✨infosec✨","@GossiTheDog"
"@programmerjoke9","Linux be like https://t.co/A7jb3NemFA https://t.co/jnsH9J753H #100Daysofcode #javascript #programming #dev #linux… https://t.co/YwvTWzvhEn",""
"@inea_eu","A failure in the #electric power grid due to #CyberSecurity incidents leads to the collapse of systems such as… https://t.co/AVOMxJ4m7T",""
"@InfoSecComm","New Write-up on InfoSec Write-ups publication : ""Wacky XSS challenge with amazon (by bugpoc)"" #bugbounty… https://t.co/mAJl15fgWT",""
"@desirevile","Future Reomte Surgery V/@GeorgeWillems1 cc:#TOI #gamedev #indiedev #socialmedia #cybersecurity #Manali @Nicochan33… https://t.co/quizZPtu1G","@GeorgeWillems1|@Nicochan33"
"@shehacks_ke","Join us this Thursday on YouTube from 2:45-3:45pm for a chat with @OPCDE  on matters cybersecurity by @msuiche. It'… https://t.co/PDpYrc52ME","@OPCDE|@msuiche"
"@404death","Privileged file read EoP (CVE-2020-16938) without using 7 zip file manager. \n\nhttps://t.co/ftrxN8g6q6 https://t.co/r7XAvhOUZu",""
"@siri_urz",".howareyou DFA525C751C4C0056D3C51A42121A28F\n#Ransomware https://t.co/faAm1Z2P7L",""
"@TheHackersNews","A new banking trojan, dubbed ""Ghimob,"" targeting #Android apps from 122 financial institutions in Brazil, Latin Ame… https://t.co/d9rIfkM75R",""
"@Raj_Samani","We are seeing activities from APT28 targeting 5 countries inc  US, Germany, Italy ""TTPs’ include spear phishing cam… https://t.co/QmPIOH6UTY",""
"@NCSC","In this week's Threat Report: Oracle WebLogic Server remote code execution vulnerabilities (CVE-2020-14750 &amp; CVE-20… https://t.co/rhl7W39F6s",""
"@matthieugarin","📊 Good news... @ValeryMarchive a mis à jour son graphe sur les #Ransomware: environ 200 attaques (connues) dans le… https://t.co/MZpZyDwF5s","@ValeryMarchive"
"@Liquid_Global","@Liquid_Global is excited to appoint a cybersecurity consulting company @hackenclub to strengthen the exchange’s se… https://t.co/4kZSz6TxBZ","@Liquid_Global|@hackenclub"
"@ptracesecurity","Red Team KubeCTL Cheat Sheet  https://t.co/pcRk3yJ6NY  #Pentesting #RedTeam #CheatSheet #CyberSecurity #Infosec https://t.co/3ktTn8uhkB",""
"@reach2ratan","Update Your iOS Devices Now — 3 Actively Exploited 0-Days Discovered https://t.co/GTqx13yu53\n\n#CyberSecurity… https://t.co/yWMuT0HSTr",""
"@FishermansEnemy","Probably the first talk I went to at the first con I went to. It was @f1nux talking about DNS tunnelling at the OG… https://t.co/PwJLBKYh7s","@f1nux"
"@GossiTheDog","@paperghost Oh dear lord. It’s great he’s back as a cybersecurity expert.","@paperghost"
"@arabnews","#SaudiArabia narrows gender gap in the cybersecurity sector with the increased participation of women.… https://t.co/YWHkpGsE1F",""
"@fatehabadpolice","ऑनलाइन गेम खेलते समय #cyberfraud  से बचने व अपनी डिवाइस का डेटा सुरक्षित रखने के लिए फतेहाबाद पुलिस की तरफ से साईबर… https://t.co/bk8bGkOcBR",""
"@KajaCiglic","How cyber policy will evolve under Biden\nhttps://t.co/RxN6lKLUOI",""
"@adrvs42","I passed the exam! 👊\n#redteam #cybersecurity #CRTE @SecurityTube \nhttps://t.co/DkOeQ3YiRc","@SecurityTube"
"@GossiTheDog","And yes, it may be an influence operation account, I don’t know. It’s slightly odd after apparently 23 years in cyb… https://t.co/DSqBLpapQa",""
"@perceptic0n","Wenn du gerade deinen MA abgeschlossen hast und dich dafür intressierst, #cyberangriffe zu studieren, pls. give ma… https://t.co/zOA9ttcXmF",""
"@MoitOfficial","Federal Minister for IT and Telecom Syed Amin Ul Haque addressing the prize distribution ceremony organized by Nati… https://t.co/30XhNfmmIa",""
"@AletheDenis","Catch up with me, my imposter syndrome and how I hacked my way into doing this for a living. \n\nI still pinch myself… https://t.co/6KLcNQbgM8",""
"@TheOfficialSBI","SBI customers are requested to be alert on Social Media and not fall for any misleading and fake messages.\n\n#SBI… https://t.co/3wema0cV1n",""
"@inteliment","How To Build Your Own Chatbot Using Deep Learning\n\nhttps://t.co/3hUzATl3Ww @TDataScience\n\n#MachineLearning… https://t.co/X2e1UaD0Ye","@TDataScience"
"@GossiTheDog","The next time I’m in an incident response situation for a company hit by ransomware and they have legal trying to s… https://t.co/271Wc0png8",""
"@2linuxorg","🔴📦🏴‍☠️\nأفضل 20 أداة اختراق والقرصنة ألاخلاقية مفتوحة المصدر في 2020\n🔗https://t.co/aZb8qCRhJR\n#تقنية_المعلومات… https://t.co/dBh8mCtOWw",""
"@achyutaghosh","Top 8 #IoT application areas in India\n\nvia @DSCI_Connect @NasscomR\n\nhttps://t.co/M9FYdEinI4\n\n#EdgeComputing #AI… https://t.co/WAB9J7jkvf","@DSCI_Connect|@NasscomR"
"@SpirosMargaris","Top #AI-Based Tools &amp; Techniques \n\nFor #Deepfake #Detection \n\nhttps://t.co/78DufOVF85 #fintech #insurtech… https://t.co/1LZTBKy9b6",""
"@CyberSecOb","LoRaWan Networks Susceptible to Hacking\nInfographic available in Press Quality:\nhttps://t.co/1KOp8X3n1s\nFor further… https://t.co/Wb7ZqbWrOU",""
"@Citi973","Parliament passes Cybersecurity Act to promote and regulate cyber activities |More here: https://t.co/Cb6XDTBE9R #CitiCBS",""
"@andi_staub","Future technologies must fulfill a social purpose\n\n#AI #4IR #bigdata #fintech #Insurtech #cybersecurity #robots… https://t.co/FRlz7vVvdB",""
"@ptracesecurity","Exploiting Command Injection  https://t.co/06DFkwz3dz    #Cybersecurity #Programming #Hacking #BugBounty #Infosec https://t.co/uDHGB7CLLX",""
"@kot_hacker","For every Job seeker. A complete guide to prepare for the coding interview for programmers. Everything from how to… https://t.co/98Ydfg5ziQ",""
"@ptracesecurity","Reverse-engineering the carry-lookahead circuit in the Intel 8008 processor https://t.co/oWQAPsARSX… https://t.co/IyYDwKPbWd",""
"@infocamere","🕵️ Salto di qualità negli attacchi informatici\n""Furti, ricatti, minacce i Big dell'industria sabotati dagli #hacker… https://t.co/lVim5dWJlf",""
"@hackerb0t","Basically those many (many) millions of dollars going to attackers really is creating a situation where ransomware… https://t.co/RBzeY7pZn8",""
"@nuke86","@raistolo @dipego @disinformatico @DavidPuente Un richiamo, ormai consolidato ma doveroso, alla consapevolezza: il… https://t.co/cy5EKr97bG","@raistolo|@dipego|@disinformatico|@DavidPuente"
"@japi999","Becoming a next-generation #CISO briefing paper by @securityforum, https://t.co/ASjPCV9zRy #infosec #cybersecurity… https://t.co/anvrIqQGRq","@securityforum"
"@MHoffV1","#HAI #Hacken #Cybersecurity runs on #Vechain #Blockchain #CryptoGems 82 centralized exchanges and a growing number… https://t.co/ARbCHk1nuK",""
"@SpirosMargaris","Can #AI be used in #cybersecurity? \n\nYou asked, we answered! \n\nhttps://t.co/bJ9y2xMD5N #fintech… https://t.co/5PP2mpuiED",""
"@faamxx","@zahraa_zainal sure can! tapi nanti ada pulak orang triggered kata i terpaling power infosec, sebab dah kena kutuk… https://t.co/aJkRpXHo0O","@zahraa_zainal"
"@EliSugarman","Everyone tracking #cybersecurity issues globally should pay close attention to Australia's “hardcore critical infra… https://t.co/7enXctDVAM",""
"@MIduoad","Guys, do you know someone / are you familiar with ruby and/or python and containers, interested in cybersecurity, a… https://t.co/gjtYpsRl0V",""
"@Turdbergg","@InfoSec_MH @JackPosobiec I’m gonna clap when those ballots no longer count without him there","@InfoSec_MH|@JackPosobiec"
"@ptracesecurity","linux evil toolkit: various security tools for pentest professionals  https://t.co/IT408AH95o  #Pentesting #Linux… https://t.co/r2yyQYghnJ",""
"@InfoSec_MH","@JackPosobiec This was shocking!\nUnbelievable how the ""impartial"" ballot counters clapped as they were forcibly thrown out.","@JackPosobiec"
"@InfoSec_MH","@gatewaypundit @Karen_State_U I love it when the left's tactics get used against them.","@gatewaypundit|@Karen_State_U"
"@inteliment","The 4 Hard Truths Data Science Blogs Don't Teach You About.\n\n https://t.co/Bu7MBO2fLH\n\n#DataScience… https://t.co/k0Qs6B94im",""
"@HishammuddinH2O","At the @ASEAN Political Security Community (APSC) Council Meeting, Malaysia 🇲🇾 raised complex challenges and threat… https://t.co/1NpBBroeO8","@ASEAN"
"@InfoSec_MH","@RichardGrenell @TruGayPatriots @davidspunt Harmeet K. Dhillon @pnjaban discussed people behind the scenes of the D… https://t.co/php8FkdQsc","@RichardGrenell|@TruGayPatriots|@davidspunt|@pnjaban"
"@Fisheyebox","What is a probabilistic #neuralnetworks?\n\nhttps://t.co/B429mxp18D\n\n#DataScientist #selfdrivingcars #BigData… https://t.co/6NZKKxfohX",""
"@EndNowCyber","It takes 20 years to build a reputation and you need 05 minutes to ruin it - Weekly Cyber Talk Article… https://t.co/89jZFyqPTe",""
"@InfoSec_MH","@JackPosobiec This is perfect timing for Trump to fire Barr (so he can't run out the clock again).  \n\nDon't be naiv… https://t.co/QniHM6GdBe","@JackPosobiec"
"@techinsider","This is what to look for in a secure messaging app\n\nFor more on cybersecurity, watch ""Hack Attack"" on @PrimeVideo:… https://t.co/DgWMgx4dpe","@PrimeVideo"
"@elwaldorf","@gokunaruto3000 @9_volt_ That $11 million ransomware attack makes a whole lot more sense now.","@gokunaruto3000|@9_volt_"
"@AmAnthroAss","In these unprecedented times, we should all be #RaisingOurVoices2020,\n\nbut please don’t raise your voices to *us* a… https://t.co/Y0VleQGXc4",""
"@InfoSec_MH","@JackPosobiec If Trump lets Barr run out the clock ***AGAIN***, he deserves to lose.\n\nThis is probably just theater… https://t.co/HIQv9sag6m","@JackPosobiec"
"@YUSUPHKILEO","#Infosec The ""digital revolution"" is impacting everything- It changes business models, institutions &amp;society as a w… https://t.co/eNMCqtMjY2",""
"@NTTPR","サイバーセキュリティ人材不足を打開する為、サイバーリスク情報センターのメンバー企業がNICEフレームワークを元に作成した共通シラバスについてNTT チーフ サイバーセキュリティ ストラテジスト松原実穂子が論考をまとめました。… https://t.co/vonHPSh46J",""
"@AlyssaM_InfoSec","@TC_Johnson The story of my 2020","@TC_Johnson"
"@AlyssaM_InfoSec","💯 https://t.co/LT8IxiGriB",""
"@MarleneTromp","Our new Institute for Pervasive Cybersecurity will make a tremendously positive impact on our students and the stat… https://t.co/4eLv1hc0EF",""
"@Infosec_Taylor","Anyone who utters the words ""election fraud"" on video without concrete evidence should be put in jail.",""
"@aneeshnair","Should you use that open-source #code in your identity management projects? Consider these 8 points to help you dec… https://t.co/nkbhcgRag9",""
"@CioAmaro","Graphical description of keeping default passwords \n#Infosec #CyberSecurity #CyberAttack #Hacking #Privacy #Threat… https://t.co/U0OqD1Daxn",""
"@nypost","Score two of the most elite cybersecurity apps for over 70% off https://t.co/13ruoLFIhl https://t.co/c7621BBaT3",""
"@logo90264160","Hello, You searching a creative logo Design for your company.....https://t.co/zQ9GTUbCDx\n\n#100DaysOfCode… https://t.co/dFBAu8R7E9",""
"@Fabriziobustama","Top 5 Game Changing Business Technology Innovations in 2020\n#blockchain #Cybersecurity #IoT\n#Cloud… https://t.co/wwBNYErVzd",""
"@SanjayDhotreMP","⚠️ Become a digitally-minded family. Hard but worth it! #StayDigitSafe #cybersecurity @InfoSecAwa https://t.co/tnPD0mCsYp","@InfoSecAwa"
"@Fabriziobustama","Ransomware Criminals Demand $11 Million From Video Game Giant Capcom\nBy @Forbes https://t.co/queXTFzTFU… https://t.co/tis9tSgbd7","@Forbes"
"@hackerfantastic","Solaris 9 isn’t exploitable by sheer dumb luck with CVE-2020-14871, the SunSSH implementation on 9 doesn’t support… https://t.co/Hf77XlqOkp",""
"@hacks4pancakes","Ian is right. We need some more positivity! 👩🏻‍💻💜🍸\n\nHow about you tell me what your favorite infosec talk of all ti… https://t.co/OfYOZJSz5j",""
"@Fabriziobustama",".@WordPress plugin bugs can let attackers hijack up to 100K sites\nBy @BleepinComputer https://t.co/fD6SgMtBCz… https://t.co/S7fPDMwUOl","@WordPress|@BleepinComputer"
"@0gtweet","Need an infosec advice getting better with age? https://t.co/ztlg2BVGir",""
"@hacback17","#Nmap Cheat Sheet: Credit: StationX\n\n#Bugbounty #bugbountytips #pentesting #kali #security #cybersecurity #infosec… https://t.co/lQ7FEpTf7M",""
"@Hakin9","Cybersecurity in Software-Defined Networking (SDN) full tutorial inside our free edition! https://t.co/yQr3Dyy6So… https://t.co/0D2G8lrNDV",""
"@alcgroup","#Trickbot and #Emotet trojans driving spike in #ransomware attacks via @ITBriefAU https://t.co/AkdRRGjesw… https://t.co/spaikgyQLY","@ITBriefAU"
"@wormwood_stars","twitter research findings:\n- you can quote tweet people who blocked you and it'll show you the tweet\n- it doesn't s… https://t.co/vl7r4wT0y1",""
"@Infosec_Taylor","@RayRedacted No. It's so crazy this is even a thing. I'd ask what their future goals are and either try to make a s… https://t.co/FWj25udTef","@RayRedacted"
"@Alonso_ReYDeS","Disponible el video del Webinar Gratuito: ""Google Hacking"" #hacking #cybersecurity #infosec #security #forensics… https://t.co/3zYJIC0gZg",""
"@PresKeel","Always enjoy going by the @GACyberCenter (that's one really BIG TV!!). @AUG_University leading the charge in… https://t.co/deqWzcsRIZ","@GACyberCenter|@AUG_University"
"@markstjohn","@IanColdwater Over 40 infosec crew logging on https://t.co/2VnTBfO19B","@IanColdwater"
"@warriors_mom","I am a biracial Christian business owner in Cybersecurity.\nI am not ashamed of Jesus Christ. ✝️\nI make no apologies… https://t.co/vOUnBUwKIT",""
"@Techmeme","Taiwan's Compal, the second-largest ODM of laptops globally for Apple, Dell, and others, suffered a ransomware atta… https://t.co/DRnqL8epFs",""
"@M_Miho_JPN","Thank you for sharing my @PacificForum blog. So proud to see Japanese companies including NTT are taking proactive… https://t.co/UBuxgEMNQn","@PacificForum"
"@TC_Johnson","@Infosec_Taylor 🤷🏻‍♂️ offensive security or offensive operations sounds really cool but the terms imply something s… https://t.co/VV9Js7JmRE","@Infosec_Taylor"
"@1VAFI","Director del Centro Nacional de Contraterrorismo asume formalmente la Secretaría de Defensa de los EE.UU \n\nNuevo lí… https://t.co/QwwCqaVcCS",""
"@sans_isc","How Attackers Improve; Linux Ransomware; Malicious MSFT Teams; NPM Malware; RPKI Update\n https://t.co/A2zOrEFb18 https://t.co/H7RwjA1jOB",""
"@ipfconline1","Most common problems of going remote: How to deal with them\n\nhttps://t.co/tyUW0d7oOA @juliasam111 v/… https://t.co/oG9V8oFha9","@juliasam111"
"@Infosec_Taylor","@TC_Johnson So is my master's focus in Penetration Testing still or is it in Offensive Operations? 🤔","@TC_Johnson"
"@infosec_mike","@IanColdwater https://t.co/p4qUvvOeKj","@IanColdwater"
"@caklugofficial","November 23rd. Stay tuned! 💛🖤🤍\n\n(Check out the link in my bio for more details!)\n\n#iam4ilf #innocentlivesfoundation… https://t.co/4IRteSwzZO",""
"@Infosec_Taylor","Every time. https://t.co/EsBvpEgURi",""
"@WiCySorg","Join @robinyeman from @LockheedMartin and learn to embed #cybersecurity throughout the development lifecycle to ens… https://t.co/uG0BWj2jGj","@robinyeman|@LockheedMartin"
"@JoelM1982","@Cornstock_99 @MajorPatriot Some ransomware can warn with messages like this. But what kind of stupid hacker would… https://t.co/wwaouwfRcL","@Cornstock_99|@MajorPatriot"
"@appleinsider","MacBook Air, MacBook Pro assembler Compal attacked with ransomware\n https://t.co/6wPgAx3U4H https://t.co/O1ZIrBhrJL",""
"@ITSPmagazine","“Not all those who wander are lost.” \n― J.R.R. Tolkien\n\nIn case you need this explained, you can join us on The Unc… https://t.co/wSq9CYndn1",""
"@voxeloficial","Hackers teriam pedido US$ 11 milhões para liberar mais de 2 mil computadores na rede da empresa e 1 TB de dados cri… https://t.co/6OXmJrgQ74",""
"@attcyber","Shadow #IT, talking to the board about #cybersecurity and more topics from day 2 of the virtual SecTor Conference.… https://t.co/geobaepKPT",""
"@JCOwensSr","@TheDailyShow @BethRickenbaker @senatemajldr @RonWyden Introduced in Senate (05/15/2019) This bill addresses the se… https://t.co/p8SLppnWcC","@TheDailyShow|@BethRickenbaker|@senatemajldr|@RonWyden"
"@arabnews","Saudi Arabia has seen an increase in the participation of women in cybersecurity. https://t.co/udiOQ7XijQ https://t.co/JzYJYTjZms",""
"@DfirDiva","Free Cybersecurity Bootcamp 👇🏾 https://t.co/q2v2I2BG4I",""
"@mubix","@Infosec_Taylor Amateur.... I have ~95 ;)","@Infosec_Taylor"
"@CioAmaro","Cybersecurity Workforce Demand by NIST\n#Infosec #CyberSecurity #CyberAttack #Hacking #Privacy #Threat #Malware… https://t.co/8AhoaQ65oB",""
"@_a12k","@SarahPinsker My name is Rudolph William Giuliani, commander of the Cybersecurity, generally a bad attorney, manser… https://t.co/C4dxaBpOxK","@SarahPinsker"
"@Infosec_Taylor","Coworker: I own so many domains. \n\nMe: OMG, me too! I have 28.\n\nCoworker: ....I have 8.\n\nMe: Oh...yeah that sounds… https://t.co/D8YeZIkDrk",""
"@GHSecurityLab","GHSL-2020-202: Local Privilege Escalation (LPE) in Ubuntu gdm3 - CVE-2020-16125 https://t.co/oDUEeBFtid",""
"@Microsoft","People are at the center of #cybersecurity. \n\nHere's why taking a human-centric approach to your cybersecurity matt… https://t.co/wAHWdUoQvP",""
"@alan_ritter","My Ph.D. student, @szzysz, defended his thesis today 😀\n\nHighlights include new NLP datasets and systems for extract… https://t.co/Onah29Owj0","@szzysz"
"@izag82161","💻20/11/10/R2D32 #100DaysOfCode\n\n🔶 Review\n☑︎ #Flutter -async await\n☑︎ #Linux #C #Algorithm - file sys\n☑︎… https://t.co/mlu6hUbXgW",""
"@TamaraMcCleary","Microsoft says the pandemic has changed the future of #cybersecurity in these five ways https://t.co/8OUMMKcEvX https://t.co/NDYzmlcHMT",""
"@moixsec","Russian authorities make rare arrest of malware author https://t.co/Fzw9Jb4QDR #infosec #cybersecurity https://t.co/Jk5xBUY4jZ",""
"@omespino","#writeup [ Updated ] to participate in @GoogleVRP's GCP VRP prize 2020, same bug but full detailed step by step\n\nwr… https://t.co/YqtO8uJb4h","@GoogleVRP"
"@Nate_Kiru247","Just secured a a panel interview for Cybersecurity internship with another of my top internship places🤩",""
"@_Y000_","Inyecciónes sql automatizadas usando SQLMAP\n\nAcabo de terminar un escrito acerca de inyecciones sql usando sqlmap,… https://t.co/KHUa16n3B0",""
"@JeffElder","I don't get it. For years I have told friends who are looking for jobs that they can find one in cybersecurity. It'… https://t.co/hMuRcvP8jI",""
"@three_cube","Become a Metasploit Cyber Warrior!          \nMetasploit Basics for Hackers, Parts 1 - 25!       #metasploit… https://t.co/RIPqtNdXIr",""
"@NobMiwa","破壊型ランサムウェア犯罪グループのRyukの1社あたりの平均支払額は7500万円で、これまでに150億円稼ぎ、最高支払額は34億円と言われています\nRyukがADを制圧するまでのシナリオも解説されています。ADが制圧されるとAVも… https://t.co/EinAzkvoMu",""
"@maldevel","Writing Custom Shellcode Encoders and Decoders #redteam #infosec \nhttps://t.co/uOqfu9ejRK",""
"@idokilovaty","JOB ANNOUNCEMENT: I'm looking for a law graduate to teach an online course I put together for our Master's in Cyber… https://t.co/7ExozOExY7",""
"@ian_infosec","Promoting coop https://t.co/5ehBnJrLij",""
"@Infosec_Taylor","What a great decision to reopen schools. *sarcasm*\n\n3200 of our active cases in MT were linked to schools.",""
"@fj_twt","A10(ACOS)のGUI管理画面でリモートコマンドインジェクションの脆弱性(cvss:10.0)とのこと…\n\n( ꒪⌓꒪)…そもそも論、GUI管理画面がWAN側にアクセス制限なしで公開されてる時点でアレだけど…\n\nACOS/aG… https://t.co/LD4R3jamy9",""
"@CompTIA","5 Cybersecurity Jobs You Could Get with CompTIA Security+\n1. Systems Administrator\n2. Security Administrator\n3. Jun… https://t.co/2Oj95ToSvx",""
"@binitamshah","Critical Vulnerabilities Discovered in TCL Android TVs\n\nCVE-2020-27403\nFull file system browsing of the TV in the b… https://t.co/lSGTKinNsN",""
"@Infosec_Taylor","My sister and her entire family have COVID. Most likely from my sister who was a substitute teacher for the schools… https://t.co/JWdWuIGgPS",""
"@Ike_Saul","241/ Also, the head of the U.S. Cybersecurity and Infrastructure Security Agency has called the claim about superco… https://t.co/h9m0YKt2gE",""
"@bad_packets","Mass scanning activity detected from 91.241.19.84 (🇷🇺) checking for MobileIron MDM servers vulnerable to remote cod… https://t.co/VXKjQtW59Z",""
"@InfoSec_MH","@dbongino They only win if you give up.","@dbongino"
"@EliSugarman","Interesting how SECDEF Esper highlights #cybersecurity and how he ""...expanded the authorities and resources of Cyb… https://t.co/R1WZgtvnO9",""
"@Hakin9","pythem - Penetration Testing Framework https://t.co/LSBxMnZEuS \n\n#infosec #hacking #hackers #Pentesting… https://t.co/dGsyS5RI5o",""
"@antiproprietary","i want to ransomware the entire acronis marketing team\n\n#TechHumor via Screenshot https://t.co/fnjUQyqvUe",""
"@JGamblin","I got a @cvspharmacy injection one time.  It helped me not get the flu,  but I didn't get a CVE for it. https://t.co/AkNGlgBWHR","@cvspharmacy"
"@binitamshah","How I found a Tor vulnerability in Brave Browser, reported it, watched it get patched, got a CVE (CVE-2020-8276) an… https://t.co/rFYyzXpp36",""
"@InfoSec_MH","@EmeraldRobinson @TeamCavuto @BretBaier @SandraSmithFox @marthamaccallum Paul Ryan's stooges.","@EmeraldRobinson|@TeamCavuto|@BretBaier|@SandraSmithFox|@marthamaccallum"
"@riskybusiness","A10 networks CVSS 10... yikes\n\nhttps://t.co/OkU6UWi2cv",""
"@TheCyberJoe","Woo! Our CVE paper was awarded best paper at CPSIoTSec! Days and days crawling through Siemens Industry Mall were w… https://t.co/3bzkmMweVv",""
"@InfoSec_MH","@RonColeman @TeamCavuto Cavuto is just another one of Paul Ryan's stooges.","@RonColeman|@TeamCavuto"
"@BlackBerry","A recent survey found that an “intelligent approach” to cybersecurity is the only one flexible enough to handle cur… https://t.co/gbMmGPuZ30",""
"@aicanedo","Top #Python Libraries for #DataScience, #DataVisualization &amp; #MachineLearning https://t.co/Q6HwRPPZ6w #AI… https://t.co/vk9nU3MkIX",""
"@_mwc","Could you catch a malicious insider stealing corporate data from the cloud? We can and we've done it multiple times… https://t.co/1ug0QVmkaL",""
"@politicallands1","@thomaskaine5 Why is the man who left our elections undefended against Russian attack ""To not make Trump mad"" still… https://t.co/6dAmqh2F1L","@thomaskaine5"
"@JaneLytv","4. No, secret computer systems called “Hammer” and “Scorecard” are not being used to commit voter fraud.\n\nChris Kre… https://t.co/NxhAOe9vor",""
"@demonslay335","#STOP #Djvu #Ransomware w/ extension "".agho"" (v0263) spotted on ID Ransomware.",""
"@PulseGhana","Parliament passes Cybersecurity Act https://t.co/WFgL5AU2Dc https://t.co/Zo4kj8Wavo",""
"@DebugPrivilege","Ransomware operators are using malicious fake ads for Microsoft Teams updates to infect systems with backdoors that… https://t.co/sZgqmfPPxI",""
"@byteben","Amazing work by the @PatchMyPC team - I can’t wait to see what they do with the new CVE feature. Well done - you al… https://t.co/Deny5Gg5Fo","@PatchMyPC"
"@Citi973","Parliament passes Cybersecurity Act to promote and regulate cyber activities | More here: https://t.co/Cb6XDTBE9R #CitiNewsroom",""
"@LDO_Australia","Today during the live-streamed #MilCIS2020, we are going to present #Leonardo's product expo brief presenting our a… https://t.co/kRhE38leQ6",""
"@hackwisemx","Cómo los operadores del Ransomware Ryuk  ganaron $34 millones de una víctima\nhttps://t.co/Zdc3G416DI https://t.co/Jx6cN78EEK",""
"@ram_ssk","This is going to be 🔥🔥🔥 @CristinGoodwin has unparalleled insights into Cybersecurity Threats! https://t.co/Ra94oQ7DqJ","@CristinGoodwin"
"@InfoSec_MH","@Cernovich 1. Voter fraud is a myth\n2. Voter fraud is rare\n3. Voter fraud is not widespread\n4. Voter fraud is minim… https://t.co/z5D7XZ0i6w","@Cernovich"
"@usedgov","Nominations are now open for the second annual Presidential Cybersecurity Education Award! This honor recognizes tw… https://t.co/AJMHKwuaEY",""
"@TechAtMSU","Our new Chief Information Security Officer (and former CISO of @cwru), Tom Siu, discusses the Northeast Ohio CyberC… https://t.co/npzyZGMdCr","@cwru"
"@three_cube","Advice from a Professional Hacker: Why Hacking is THE Most Important Skill Set of the 21st Century #hacking… https://t.co/H7QfoAdbdo",""
"@bizsiouxfalls","“We’ll be recruiting a whole new population to @DakotaState."" Cybersecurity education just got a big boost, thanks… https://t.co/W2pf48oDtN","@DakotaState"
"@exame","Em competição, hackers invadem Windows 10, iOS 14 e Chrome, entre outros https://t.co/saFdf8E5F3",""
"@OneBandwagonFan","The @BandwagonTix team is growing! I'm SUPER excited to share that @FriendofEstonia is joining our team! Aside from… https://t.co/i8upwp5MX1","@BandwagonTix|@FriendofEstonia"
"@SaulEwing","Next week, cybersecurity and privacy attorney @AlexanderBilus will participate in a panel discussion during… https://t.co/J5KvmqOlQJ","@AlexanderBilus"
"@StuHirstInfoSec","What do we really do?!\nSpoiler alert: quite a lot! https://t.co/wu1292bZFc",""
"@katharintai","Speaking about Chinese definitions of cybersecurity &amp; securitisation tomorrow at what promises to be an excellent o… https://t.co/wntnXo8INH",""
"@Callisto_Audits","Are Your Funds Safe?\n\nThe ERC20 standard presents several security issues, one of which is particularly critical si… https://t.co/oj9mK8x7Ka",""
"@jason_a_w","18-34 year olds are more likely to own a smart speaker than a desktop computer? (From here- actually an NCSA cybers… https://t.co/KbSbGFx2tj",""
"@cry__pto","Hacky Easter 2019 writeup:\nhttps://t.co/1uha7VpMpA \n#bugbountytips #PenTest #Hacking #infosec",""
"@jonobacon","So, @snyksec put out their 2020 Open Source #Security Report. Thrilled to bring @AlyssaM_InfoSec onto… https://t.co/egOzKjEqbT","@snyksec|@AlyssaM_InfoSec"
"@Dennis_Kipker","Jetzt im Buchhandel und online verfügbar: die neue Ausgabe der Zeitschrift ""International Cybersecurity Law Review""… https://t.co/lOZCyxr7Pg",""
"@womenknowcyber","These #Women Know #Cybersecurity.. Tulle CEO @carlotasage | Penetration Tester @SunnyWear | Researcher… https://t.co/2yxH6j3UpK","@carlotasage|@SunnyWear"
"@SenBlumenthal","The FTC has failed again—an abjectly inadequate slap on the wrist for Zoom. After Zoom deceived millions by misrepr… https://t.co/IoswSXZf95",""
"@SamuelStolton","MEPs @EP_Industry will probe @vestager on Thursday, covering a range of outstanding policy announcements for the re… https://t.co/1MsHh8OSgX","@EP_Industry|@vestager"
